Time (s),Speed (m/s),Acceleration (m/s2),Lift Resultant Force (N),Drag Resultant Force (N),CD
80.1,23.34924518818423,0.034350133970411305,0.8110272183241513,-219.7856874458458,0.4659151706577391
80.2,23.3468238217369,0.03436046834604848,0.8120567270647062,-219.78535834337157,0.4659182657828258
80.3,23.34440567956048,0.03437092572103271,0.8130915371073971,-219.78502913684446,0.4659213635654985
80.4,23.341990723165566,0.03438147694735744,0.8141299845909262,-219.7846999822452,0.46592446399331977
80.5,23.33957891643448,0.034392095824027406,0.8151705334489197,-219.78437106265326,0.46592756705242877
80.6,23.337170223249554,0.03440275615004739,0.8162116476150043,-219.7840425611482,0.4659306727289282
80.7,23.334764607493117,0.034413431724422135,0.817251791022807,-219.78371466080952,0.4659337810088844
80.8,23.332362033047488,0.03442409634615641,0.8182894276059539,-219.78338754471676,0.46593689187832754
80.9,23.329962463794995,0.03443472381425497,0.8193230212980721,-219.7830613959494,0.46594000532325164
81.0,23.327565863617966,0.034445287927722563,0.8203510360327878,-219.78273639758703,0.46594312132961463
81.1,23.325172195587502,0.03445576366268464,0.8213720389632149,-219.78241269589176,0.46594623988519646
81.2,23.322781418432275,0.03446613229625161,0.8223851497639268,-219.78209024004695,0.4659493609877101
81.3,23.320393489434053,0.03447637720505651,0.8233896722126661,-219.78176891356821,0.4659524846382148
81.4,23.31800836587361,0.03448648176717124,0.8243849102133475,-219.7814485999261,0.46595561083781195
81.5,23.315626005031717,0.03449642936066772,0.825370167669885,-219.78112918259123,0.46595873958764306
81.6,23.31324636418915,0.03450620336361783,0.8263447484861933,-219.7808105450342,0.46596187088888946
81.7,23.310869400626675,0.034515787154093494,0.8273079565661869,-219.78049257072553,0.46596500474277247
81.8,23.30849507162507,0.03452516411016661,0.82825909581378,-219.7801751431359,0.46596814115055313
81.9,23.30612333488592,0.03453431801675878,0.8291974877663753,-219.77985814877653,0.4659712801133714
82.0,23.30375415428105,0.03454323862424911,0.8301227125134197,-219.77954151874346,0.4659744216300431
